"MYE2: Persons by single year of age and sex for local authorities in the UK, mid-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Freeze panes are turned on. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please choose from the links presented in the cells below to e-mail us your opinion on this table: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This met my needs, please produce it next year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I need something slightly different (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is not what I need at all (please specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,Country,"67,026,292","675,477","701,987","719,130","732,469","751,206","774,709","769,990","775,405","795,554","818,289","822,479","810,230","806,827","813,580","781,717","765,536","764,087","759,416","749,360","755,815","769,162","782,693","810,850","824,420","847,674","835,498","850,263","877,646","885,177","918,542","933,748","932,387","928,657","940,421","920,023","914,228","911,467","883,458","885,351","882,864","891,525","894,538","857,886","798,557","783,960","802,765","818,634","830,037","864,360","898,773","932,472","909,928","931,763","930,422","935,897","931,539","936,622","923,449","902,151","880,095","847,983","812,628","791,372","768,170","735,943","706,553","676,263","674,394","659,924","636,900","637,387","642,310","652,566","681,970","730,883","553,987","529,119","518,965","473,297","414,919","362,640","364,433","348,915","326,212","296,242","266,275","237,797","205,773","180,568","159,882","598,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,GREAT BRITAIN,Country,"65,121,729","654,213","679,972","696,354","709,324","727,374","750,094","745,388","750,880","770,556","792,493","796,581","784,751","781,205","787,856","757,310","742,058","740,513","736,175","726,774","734,916","748,490","761,868","788,653","801,405","824,077","812,703","827,453","854,633","861,975","894,421","909,324","907,481","903,714","914,959","894,327","888,227","885,734","858,115","859,971","857,692","866,237","868,399","833,023","775,081","761,185","779,417","795,398","805,943","839,300","873,573","906,505","884,152","905,618","903,967","909,627","905,129","909,930","897,184","876,758","855,319","823,364","789,214","768,805","745,935","714,851","686,017","657,170","655,729","641,506","619,665","620,040","625,347","635,969","665,676","714,349","539,209","514,964","505,211","460,099","403,542","352,658","355,109","340,026","317,972","288,617","259,477","231,892","200,750","175,893","155,961","584,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,ENGLAND AND WALES,Country,"59,641,829","607,431","630,955","644,876","656,007","672,531","693,024","687,443","692,618","711,066","731,533","733,713","724,801","719,648","726,522","698,453","684,266","683,233","679,996","671,700","677,611","687,176","698,342","722,376","732,371","752,250","741,461","756,189","781,142","786,777","814,898","829,471","830,523","827,319","838,732","820,427","814,823","812,879","787,692","788,792","785,579","794,777","798,476","765,595","712,577","699,949","714,974","730,728","740,173","769,728","799,730","830,063","808,732","827,363","824,304","829,616","825,740","827,943","816,211","796,136","776,880","747,139","715,797","696,169","675,685","646,753","620,347","594,799","594,541","582,146","562,830","563,348","568,914","578,913","607,557","652,495","493,546","472,715","463,062","420,849","368,554","321,322","324,215","310,985","290,928","264,257","237,543","212,200","183,767","161,417","143,058","539,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,Country,"56,536,419","579,315","601,274","614,109","623,873","639,646","658,513","653,208","658,120","675,503","694,918","696,488","688,076","683,067","689,261","663,078","649,499","648,066","645,642","637,270","641,579","650,705","661,796","684,929","695,509","714,474","705,555","720,077","744,015","749,401","775,860","789,926","791,601","788,320","799,021","781,498","776,514","774,632","750,999","751,814","748,949","757,542","760,845","729,833","679,655","667,273","681,401","695,685","704,152","731,536","759,044","786,831","766,990","783,664","781,179","785,653","781,563","782,568","770,902","751,858","733,101","704,980","674,965","655,837","636,312","608,797","583,874","559,535","558,458","546,304","528,480","528,807","533,882","543,415","570,305","613,713","464,281","444,154","435,404","395,427","345,640","301,313","305,184","293,030","274,127","249,035","223,864","200,094","173,198","152,119","135,074","509,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,Region,"2,646,772","24,852","25,492","26,888","27,451","28,590","29,411","29,061","29,757","30,655","31,226","31,720","31,204","30,611","31,215","29,902","29,527","28,748","28,607","29,205","32,887","33,532","32,897","32,468","31,309","31,795","30,784","31,456","31,831","32,270","33,650","33,872","33,095","32,984","34,147","33,682","34,052","33,559","32,372","32,278","32,038","32,415","32,849","31,858","28,575","27,311","29,235","29,822","30,301","32,296","34,917","36,996","35,331","36,045","36,907","37,817","38,232","39,002","38,500","38,493","38,190","36,558","35,445","35,589","35,006","33,545","32,233","30,794","30,524","30,025","28,702","28,513","28,673","28,998","30,133","32,357","23,666","22,446","21,486","18,786","17,028","15,445","15,603","14,979","14,126","12,900","11,120","10,167","8,591","7,516","6,643","23,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000047,County Durham,Unitary Authority,"521,346","4,629","4,718","4,941","5,037","5,221","5,501","5,501","5,615","5,768","5,835","5,949","6,003","5,716","6,015","5,864","5,697","5,580","5,367","6,028","7,960","7,691","6,979","6,636","5,777","5,741","5,626","5,617","5,688","5,911","6,124","6,304","6,095","6,016","6,204","6,080","6,236","6,149","6,024","6,162","6,111","6,224","6,131","6,145","5,552","5,313","5,616","5,795","5,968","6,620","7,099","7,587","7,155","7,563","7,691","7,880","7,948","8,089","7,992","7,774","7,761","7,380","6,970","7,229","7,008","6,750","6,503","6,352","6,179","6,179","5,859","5,966","5,897","6,047","6,158","6,679","4,974","4,873","4,715","3,981","3,568","3,285","3,179","3,023","2,854","2,673","2,276","2,037","1,720","1,478","1,219","4,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000005,Darlington,Unitary Authority,"108,222","1,034","1,077","1,098","1,138","1,126","1,220","1,223","1,260","1,300","1,325","1,320","1,338","1,376","1,332","1,285","1,272","1,284","1,245","1,228",926,815,993,"1,116","1,194","1,229","1,241","1,190","1,312","1,294","1,345","1,481","1,363","1,365","1,415","1,341","1,382","1,330","1,341","1,286","1,291","1,350","1,420","1,413","1,304","1,200","1,262","1,308","1,349","1,409","1,491","1,601","1,542","1,513","1,560","1,546","1,650","1,619","1,518","1,606","1,542","1,515","1,398","1,410","1,401","1,293","1,309","1,178","1,185","1,187","1,144","1,149","1,124","1,197","1,205","1,339",998,955,863,736,676,668,668,653,610,530,461,438,355,328,288,"1,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000001,Hartlepool,Unitary Authority,"92,571",905,986,"1,017",996,"1,065","1,092","1,033","1,114","1,148","1,153","1,209","1,213","1,180","1,220","1,125","1,160","1,120","1,132",992,879,988,"1,008","1,050","1,009","1,095","1,011","1,131","1,098","1,084","1,134","1,200","1,123","1,177","1,209","1,185","1,148","1,144","1,110","1,057","1,071","1,079","1,088","1,041",939,947,"1,000",972,974,"1,144","1,226","1,323","1,255","1,267","1,340","1,422","1,391","1,469","1,394","1,429","1,399","1,410","1,259","1,325","1,169","1,202","1,085","1,096",984,"1,050","1,042",953,"1,021","1,011","1,023","1,076",774,715,659,560,564,503,519,468,500,475,357,359,293,267,230,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000002,Middlesbrough,Unitary Authority,"143,734","1,643","1,705","1,757","1,841","1,935","1,851","1,911","1,926","2,032","1,995","2,060","1,974","1,822","1,837","1,808","1,799","1,772","1,773","1,639","1,617","1,826","1,956","1,926","2,123","2,124","2,063","2,041","2,039","2,028","2,101","1,955","2,036","2,082","2,094","2,066","2,067","1,984","1,928","1,795","1,724","1,734","1,739","1,678","1,467","1,434","1,529","1,547","1,534","1,632","1,636","1,729","1,685","1,651","1,825","1,777","1,863","1,894","1,841","1,860","1,929","1,778","1,745","1,729","1,763","1,711","1,570","1,525","1,409","1,442","1,311","1,303","1,268","1,233","1,280","1,382","1,005",924,867,811,797,673,674,646,643,568,525,453,397,341,282,"1,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000057,Northumberland,Unitary Authority,"321,558","2,617","2,619","2,857","3,034","3,071","3,212","3,178","3,285","3,448","3,532","3,581","3,488","3,435","3,584","3,326","3,432","3,347","3,383","3,269","2,592","2,524","2,581","2,820","3,001","3,079","2,981","3,132","3,150","3,194","3,393","3,377","3,323","3,330","3,497","3,540","3,444","3,575","3,424","3,434","3,561","3,509","3,791","3,669","3,241","3,234","3,522","3,670","3,774","4,019","4,386","4,636","4,404","4,580","4,744","4,867","4,929","5,265","5,198","5,078","5,234","5,065","5,108","5,047","4,885","4,772","4,788","4,528","4,577","4,456","4,341","4,377","4,381","4,468","4,806","5,039","3,659","3,516","3,410","3,008","2,565","2,287","2,283","2,144","1,974","1,865","1,632","1,486","1,215","1,064",985,"3,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
